"","Citation","AI","Question","Criteria","Agent","Flag","group_agent","value","Reviewer","Difficulty","Extractor"
"428","_Fishing in the dark-local knowledge night spearfi","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",3,"3"
"429","_Fishing in the dark-local knowledge night spearfi","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",3,"3"
"430","_Livelihoods and fisheries governance in a contempo","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"431","_Livelihoods and fisheries governance in a contempo","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"432","_Livelihoods and fisheries governance in a contempo","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"4"
"433","_Livelihoods and fisheries governance in a contempo","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"4"
"434","_Livelihoods and fisheries governance in a contempo","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"435","_Livelihoods and fisheries governance in a contempo","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"4"
"436","_Livelihoods and fisheries governance in a contempo","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",2,"4"
"437","_Livelihoods and fisheries governance in a contempo","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",2,"4"
"438","_Livelihoods and fisheries governance in a contempo","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"4"
"439","_Livelihoods and fisheries governance in a contempo","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"4"
"440","_Livelihoods and fisheries governance in a contempo","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",1,"4"
"441","_Livelihoods and fisheries governance in a contempo","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"4"
"442","_Livelihoods and fisheries governance in a contempo","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"4"
"443","_Livelihoods and fisheries governance in a contempo","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",2,"R4",NA,"4"
"444","_Livelihoods and fisheries governance in a contempo","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"4"
"445","_Livelihoods and fisheries governance in a contempo","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"4"
"446","_Livelihoods and fisheries governance in a contempo","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"4"
"447","_Livelihoods and fisheries governance in a contempo","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"4"
"448","_Livelihoods and fisheries governance in a contempo","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"449","_Livelihoods and fisheries governance in a contempo","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"450","_Livelihoods and fisheries governance in a contempo","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"4"
"451","_Livelihoods and fisheries governance in a contempo","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",3,"R3",3,"4"
"452","_Livelihoods and fisheries governance in a contempo","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",3,"4"
"453","_Livelihoods and fisheries governance in a contempo","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",3,"4"
"454","_Livelihoods and fisheries governance in a contempo","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",3,"4"
"455","_Livelihoods and fisheries governance in a contempo","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",3,"4"
"456","_Livelihoods and fisheries governance in a contempo","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",3,"4"
"457","_Livelihoods and fisheries governance in a contempo","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",3,"R3",NA,"4"
"458","_Livelihoods and fisheries governance in a contempo","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",NA,"4"
"459","_Livelihoods and fisheries governance in a contempo","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",NA,"4"
"460","_Livelihoods and fisheries governance in a contempo","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",NA,"4"
"461","_Livelihoods and fisheries governance in a contempo","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",3,"R4",NA,"4"
"462","_Livelihoods and fisheries governance in a contempo","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"4"
"463","_Locally managed marine areas Implications for soc","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"5"
"464","_Locally managed marine areas Implications for soc","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"5"
"465","_Locally managed marine areas Implications for soc","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"466","_Locally managed marine areas Implications for soc","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"5"
"467","_Locally managed marine areas Implications for soc","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"5"
"468","_Locally managed marine areas Implications for soc","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"5"
"469","_Locally managed marine areas Implications for soc","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",3,"R2",1,"5"
"470","_Locally managed marine areas Implications for soc","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"5"
"471","_Locally managed marine areas Implications for soc","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",1,"5"
"472","_Locally managed marine areas Implications for soc","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"5"
"473","_Locally managed marine areas Implications for soc","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",1,"5"
"474","_Locally managed marine areas Implications for soc","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"5"
"475","_Locally managed marine areas Implications for soc","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"5"
"476","_Locally managed marine areas Implications for soc","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"5"
"477","_Locally managed marine areas Implications for soc","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"5"
"478","_Locally managed marine areas Implications for soc","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R4",1,"5"
"479","_Locally managed marine areas Implications for soc","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R4",1,"5"
"480","_Locally managed marine areas Implications for soc","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",1,"5"
"481","_Locally managed marine areas Implications for soc","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",2,"R1",1,"5"
"482","_Locally managed marine areas Implications for soc","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",2,"R1",1,"5"
"483","_Locally managed marine areas Implications for soc","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",1,"5"
"484","_Locally managed marine areas Implications for soc","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",2,"R3",NA,"5"
"485","_Locally managed marine areas Implications for soc","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"5"
"486","_Locally managed marine areas Implications for soc","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",3,"R3",NA,"5"
"487","_Locally managed marine areas Implications for soc","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",3,"R2",NA,"5"
"488","_Locally managed marine areas Implications for soc","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",3,"R2",NA,"5"
"489","_Locally managed marine areas Implications for soc","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",NA,"5"
"490","_Locally managed marine areas Implications for soc","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",NA,"5"
"491","_Locally managed marine areas Implications for soc","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",2,"R3",NA,"5"
"492","_Locally managed marine areas Implications for soc","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",NA,"5"
"493","_Locally managed marine areas Implications for soc","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",2,"R4",NA,"5"
"494","_Locally managed marine areas Implications for soc","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",2,"R4",NA,"5"
"495","_Locally managed marine areas Implications for soc","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",NA,"5"
"496","_Multiple drivers of local (non-) compliance in com","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"5"
"497","_Multiple drivers of local (non-) compliance in com","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"498","_Multiple drivers of local (non-) compliance in com","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"499","_Multiple drivers of local (non-) compliance in com","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",3,"5"
"500","_Multiple drivers of local (non-) compliance in com","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",3,"5"
"501","_Multiple drivers of local (non-) compliance in com","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",3,"5"
"502","_Multiple drivers of local (non-) compliance in com","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",1,"5"
"503","_Multiple drivers of local (non-) compliance in com","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"5"
"504","_Multiple drivers of local (non-) compliance in com","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",1,"5"
"505","_Multiple drivers of local (non-) compliance in com","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"5"
"506","_Multiple drivers of local (non-) compliance in com","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"507","_Multiple drivers of local (non-) compliance in com","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"508","_Multiple drivers of local (non-) compliance in com","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"5"
"509","_Multiple drivers of local (non-) compliance in com","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",1,"R4",NA,"5"
"510","_Multiple drivers of local (non-) compliance in com","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",NA,"5"
"511","_Multiple drivers of local (non-) compliance in com","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",3,"5"
"512","_Multiple drivers of local (non-) compliance in com","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",3,"5"
"513","_Multiple drivers of local (non-) compliance in com","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",3,"5"
"514","_Multiple drivers of local (non-) compliance in com","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",3,"R1",NA,"5"
"515","_Multiple drivers of local (non-) compliance in com","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",NA,"5"
"516","_Multiple drivers of local (non-) compliance in com","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",NA,"5"
"517","_Multiple drivers of local (non-) compliance in com","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",2,"R3",1,"5"
"518","_Multiple drivers of local (non-) compliance in com","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",2,"R3",1,"5"
"519","_Multiple drivers of local (non-) compliance in com","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",1,"5"
"520","_Multiple drivers of local (non-) compliance in com","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",NA,"5"
"521","_Multiple drivers of local (non-) compliance in com","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",NA,"5"
"522","_Multiple drivers of local (non-) compliance in com","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R2",NA,"5"
"523","_Multiple drivers of local (non-) compliance in com","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"5"
"524","_Multiple drivers of local (non-) compliance in com","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"525","_Multiple drivers of local (non-) compliance in com","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"526","_Multiple drivers of local (non-) compliance in com","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"5"
"527","_Multiple drivers of local (non-) compliance in com","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",1,"R4",NA,"5"
"528","_Multiple drivers of local (non-) compliance in com","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",NA,"5"
"529","_One size does not fit all Critical insights for e","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"5"
"530","_One size does not fit all Critical insights for e","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"5"
"531","_One size does not fit all Critical insights for e","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"5"
"532","_One size does not fit all Critical insights for e","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"5"
"533","_One size does not fit all Critical insights for e","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"5"
"534","_One size does not fit all Critical insights for e","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",2,"R1",2,"5"
"535","_One size does not fit all Critical insights for e","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",2,"R2",3,"5"
"536","_One size does not fit all Critical insights for e","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",2,"R2",3,"5"
"537","_One size does not fit all Critical insights for e","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",3,"5"
"538","_One size does not fit all Critical insights for e","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"5"
"539","_One size does not fit all Critical insights for e","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"540","_One size does not fit all Critical insights for e","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"5"
"541","_One size does not fit all Critical insights for e","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",3,"R4",3,"5"
"542","_One size does not fit all Critical insights for e","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",3,"R4",3,"5"
"543","_One size does not fit all Critical insights for e","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",3,"5"
"544","_One size does not fit all Critical insights for e","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"5"
"545","_One size does not fit all Critical insights for e","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",NA,"5"
"546","_One size does not fit all Critical insights for e","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",3,"R4",NA,"5"
"547","_One size does not fit all Critical insights for e","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",3,"R1",NA,"5"
"548","_One size does not fit all Critical insights for e","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",NA,"5"
"549","_One size does not fit all Critical insights for e","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",NA,"5"
"550","_One size does not fit all Critical insights for e","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",2,"R3",2,"5"
"551","_One size does not fit all Critical insights for e","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",1,"R3",2,"5"
"552","_One size does not fit all Critical insights for e","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",2,"R3",2,"5"
"553","_One size does not fit all Critical insights for e","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",2,"R2",NA,"5"
"554","_One size does not fit all Critical insights for e","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",2,"R2",NA,"5"
"555","_One size does not fit all Critical insights for e","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",NA,"5"
"556","_One size does not fit all Critical insights for e","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",2,"R3",NA,"5"
"557","_One size does not fit all Critical insights for e","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",1,"R3",NA,"5"
"558","_One size does not fit all Critical insights for e","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",NA,"5"
"559","_One size does not fit all Critical insights for e","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",1,"R4",3,"5"
"560","_One size does not fit all Critical insights for e","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",1,"R4",3,"5"
"561","_One size does not fit all Critical insights for e","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",3,"5"
"562","_Small-scale managed marine areas over time Develo","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"563","_Small-scale managed marine areas over time Develo","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"564","_Small-scale managed marine areas over time Develo","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"4"
"565","_Small-scale managed marine areas over time Develo","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"4"
"566","_Small-scale managed marine areas over time Develo","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"567","_Small-scale managed marine areas over time Develo","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",2,"4"
"568","_Small-scale managed marine areas over time Develo","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",1,"R2",1,"4"
"569","_Small-scale managed marine areas over time Develo","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",1,"4"
"570","_Small-scale managed marine areas over time Develo","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",1,"4"
"571","_Small-scale managed marine areas over time Develo","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"4"
"572","_Small-scale managed marine areas over time Develo","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Response to Context","Human",NA,"Human Assessor",1,"R3",1,"4"
"573","_Small-scale managed marine areas over time Develo","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"4"
"574","_Small-scale managed marine areas over time Develo","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Context to Question","Human",NA,"Human Assessor",1,"R4",2,"4"
"575","_Small-scale managed marine areas over time Develo","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","Response to Context","Human",NA,"Human Assessor",1,"R4",2,"4"
"576","_Small-scale managed marine areas over time Develo","GPT4x3","What benefits of Community-Based Fisheries Management are reported in this case study","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",2,"4"
"577","_Small-scale managed marine areas over time Develo","GPT4x3","What are the indicators of success of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R4",NA,"4"
"578","_Small-scale managed marine areas over time Develo","GPT4x3","What are the indicators of success of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R4",NA,"4"
"579","_Small-scale managed marine areas over time Develo","GPT4x3","What are the indicators of success of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",2,"R4",NA,"4"
"580","_Small-scale managed marine areas over time Develo","GPT4x3","How was the data on benefits collected","Context to Question","Human",NA,"Human Assessor",1,"R1",2,"4"
"581","_Small-scale managed marine areas over time Develo","GPT4x3","How was the data on benefits collected","Response to Context","Human",NA,"Human Assessor",3,"R1",2,"4"
"582","_Small-scale managed marine areas over time Develo","GPT4x3","How was the data on benefits collected","AI Response to Human Response","Human",NA,"Human Assessor",1,"R1",2,"4"
"583","_Small-scale managed marine areas over time Develo","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Context to Question","Human",NA,"Human Assessor",1,"R3",2,"4"
"584","_Small-scale managed marine areas over time Develo","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","Response to Context","Human",NA,"Human Assessor",3,"R3",2,"4"
"585","_Small-scale managed marine areas over time Develo","GPT4x3","What are the reported barriers to success of Community-Based Fisheries Management","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",2,"4"
"586","_Small-scale managed marine areas over time Develo","GPT4x3","Guidelines for future implementation of CBFM","Context to Question","Human",NA,"Human Assessor",1,"R2",2,"4"
"587","_Small-scale managed marine areas over time Develo","GPT4x3","Guidelines for future implementation of CBFM","Response to Context","Human",NA,"Human Assessor",1,"R2",2,"4"
"588","_Small-scale managed marine areas over time Develo","GPT4x3","Guidelines for future implementation of CBFM","AI Response to Human Response","Human",NA,"Human Assessor",1,"R2",2,"4"
"589","_Small-scale managed marine areas over time Develo","GPT4x3","How does the community monitor the system they are managing","Context to Question","Human",NA,"Human Assessor",1,"R3",1,"4"
"590","_Small-scale managed marine areas over time Develo","GPT4x3","How does the community monitor the system they are managing","Response to Context","Human",NA,"Human Assessor",3,"R3",1,"4"
"591","_Small-scale managed marine areas over time Develo","GPT4x3","How does the community monitor the system they are managing","AI Response to Human Response","Human",NA,"Human Assessor",1,"R3",1,"4"
"592","_Small-scale managed marine areas over time Develo","GPT4x3","How does the community make decisions","Context to Question","Human",NA,"Human Assessor",1,"R4",1,"4"
"593","_Small-scale managed marine areas over time Develo","GPT4x3","How does the community make decisions","Response to Context","Human",NA,"Human Assessor",1,"R4",1,"4"
"594","_Small-scale managed marine areas over time Develo","GPT4x3","How does the community make decisions","AI Response to Human Response","Human",NA,"Human Assessor",1,"R4",1,"4"
"595","_Social and economic challenges to community-based","GPT4x3","Which country was the study conducted in","Context to Question","Human",NA,"Human Assessor",3,"R1",1,"4"
"596","_Social and economic challenges to community-based","GPT4x3","Which country was the study conducted in","Response to Context","Human",NA,"Human Assessor",3,"R1",1,"4"
"597","_Social and economic challenges to community-based","GPT4x3","Which country was the study conducted in","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",1,"4"
"598","_Social and economic challenges to community-based","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Context to Question","Human",NA,"Human Assessor",2,"R1",2,"4"
"599","_Social and economic challenges to community-based","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","Response to Context","Human",NA,"Human Assessor",2,"R1",2,"4"
"600","_Social and economic challenges to community-based","GPT4x3","Provide some background as to the drivers and/or motivators of community-based fisheries management.","AI Response to Human Response","Human",NA,"Human Assessor",3,"R1",2,"4"
"601","_Social and economic challenges to community-based","GPT4x3","What management mechanisms are used","Context to Question","Human",NA,"Human Assessor",2,"R2",3,"4"
"602","_Social and economic challenges to community-based","GPT4x3","What management mechanisms are used","Response to Context","Human",NA,"Human Assessor",3,"R2",3,"4"
"603","_Social and economic challenges to community-based","GPT4x3","What management mechanisms are used","AI Response to Human Response","Human",NA,"Human Assessor",2,"R2",3,"4"
"604","_Social and economic challenges to community-based","GPT4x3","Which groups of people are involved in the management as part of the CBFM case-studies","Context to Question","Human",NA,"Human Assessor",2,"R3",1,"4"
